EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),
14520,2453372.50000,46521.00000,-6967.05213,-126.97253,-275.94328,0.32014,-4.70666,-5.91074,6977.83397,0.00060,0.89880,6.26990,3.24994,6.22549,6.22542,0,310.8,-68.3,-2.3,-114.9,
14540,2453372.50000,46541.00000,-6959.00991,-221.06856,-394.08363,0.48405,-4.70257,-5.90283,6977.80479,0.00060,0.89880,6.26990,3.29919,6.19796,6.19786,0,309.0,-68.5,-3.3,-114.2,
14560,2453372.50000,46561.00000,-6947.69185,-315.06053,-512.03798,0.64772,-4.69626,-5.89214,6977.76474,0.00059,0.89880,6.26990,3.34873,6.17015,6.17001,0,307.3,-68.6,-4.3,-113.5,
14580,2453372.50000,46581.00000,-6933.10331,-408.90420,-629.75067,0.81108,-4.68774,-5.87867,6977.71391,0.00059,0.89880,6.26990,3.39864,6.14195,6.14179,0,305.5,-68.7,-5.2,-112.8,
14600,2453372.50000,46601.00000,-6915.25118,-502.55539,-747.16614,0.97406,-4.67701,-5.86242,6977.65236,0.00058,0.89879,6.26990,3.44902,6.11329,6.11309,0,303.7,-68.9,-6.2,-112.1,
14620,2453372.50000,46621.00000,-6894.14394,-595.97003,-864.22896,1.13658,-4.66408,-5.84340,6977.58019,0.00058,0.89879,6.26990,3.49997,6.08407,6.08384,0,301.9,-68.9,-7.2,-111.4,
14640,2453372.50000,46641.00000,-6869.79157,-689.10414,-980.88389,1.29856,-4.64896,-5.82163,6977.49753,0.00057,0.89879,6.26990,3.55158,6.05418,6.05392,0,300.0,-69.0,-8.2,-110.7,
14660,2453372.50000,46661.00000,-6842.20561,-781.91390,-1097.07588,1.45993,-4.63165,-5.79711,6977.40448,0.00057,0.89878,6.26990,3.60395,6.02353,6.02324,0,298.2,-69.1,-9.1,-110.0,
14680,2453372.50000,46681.00000,-6811.39912,-874.35563,-1212.75011,1.62060,-4.61216,-5.76986,6977.30123,0.00056,0.89877,6.26989,3.65718,5.99201,5.99169,0,296.3,-69.1,-10.1,-109.3,
14700,2453372.50000,46701.00000,-6777.38669,-966.38582,-1327.85199,1.78051,-4.59050,-5.73988,6977.18795,0.00055,0.89877,6.26989,3.71140,5.95952,5.95917,0,294.5,-69.2,-11.1,-108.6,
14720,2453372.50000,46721.00000,-6740.18441,-1057.96118,-1442.32721,1.93957,-4.56668,-5.70719,6977.06486,0.00055,0.89876,6.26989,3.76670,5.92594,5.92556,0,292.6,-69.2,-12.0,-107.9,
14740,2453372.50000,46741.00000,-6699.80990,-1149.03862,-1556.12177,2.09772,-4.54071,-5.67182,6976.93220,0.00054,0.89875,6.26989,3.82321,5.89115,5.89074,0,290.7,-69.2,-13.0,-107.1,
14760,2453372.50000,46761.00000,-6656.28228,-1239.57528,-1669.18200,2.25487,-4.51260,-5.63376,6976.79026,0.00053,0.89875,6.26988,3.88104,5.85504,5.85460,0,288.9,-69.2,-14.0,-106.4,
